year,month,day,open
2020,7,5,9126.09
2020,7,4,9084.23
2020,7,3,9124.84
2020,7,2,9231.14
2020,7,1,9145.99
2020,6,30,9185.58
2020,6,29,9140.03
2020,6,28,9048.46
2020,6,27,9167.82
2020,6,26,9260.99
2020,6,25,9314.13
2020,6,24,9632.15
2020,6,23,9644.08
2020,6,22,9300.92
2020,6,21,9330.93
2020,6,20,9290.96
2020,6,19,9410.29
2020,6,18,9481.57
2020,6,17,9533.78
2020,6,16,9454.27
2020,6,15,9386.04
2020,6,14,9477.55
2020,6,13,9480.74
2020,6,12,9320.69
2020,6,11,9870.08
2020,6,10,9794.12
2020,6,9,9774.36
2020,6,8,9760.06
2020,6,7,9653.0
2020,6,6,9664.9
2020,6,5,9800.22
2020,6,4,9655.85
2020,6,3,9533.76
2020,6,2,10162.97
2020,6,1,9463.61
2020,5,31,9700.11
2020,5,30,9438.91
2020,5,29,9528.36
2020,5,28,9184.94
2020,5,27,8837.38
2020,5,26,8909.59
2020,5,25,8786.11
2020,5,24,9212.28
2020,5,23,9185.06
2020,5,22,9080.33
2020,5,21,9522.74
2020,5,20,9725.33
2020,5,19,9727.06
2020,5,18,9675.69
2020,5,17,9374.93
2020,5,16,9333.24
2020,5,15,9734.29
2020,5,14,9271.33
2020,5,13,8805.39
2020,5,12,8610.39
2020,5,11,8755.54
2020,5,10,9591.17
2020,5,9,9840.91
2020,5,8,9936.16
2020,5,7,9261.9
2020,5,6,9007.44
2020,5,5,8912.83
2020,5,4,8895.74
2020,5,3,8983.61
2020,5,2,8869.06
2020,5,1,8672.78
2020,4,30,8797.67
2020,4,29,7806.71
2020,4,28,7796.97
2020,4,27,7679.42
2020,4,26,7570.14
2020,4,25,7550.48
2020,4,24,7434.18
2020,4,23,7121.31
2020,4,22,6879.44
2020,4,21,6879.78
2020,4,20,7186.87
2020,4,19,7260.92
2020,4,18,7092.29
2020,4,17,7116.55
2020,4,16,6640.45
2020,4,15,6845.56
2020,4,14,6843.28
2020,4,13,6965.62
2020,4,12,6858.07
2020,4,11,6867.44
2020,4,10,7303.82
2020,4,9,7337.97
2020,4,8,7179.28
2020,4,7,7273.64
2020,4,6,6788.05
2020,4,5,6862.54
2020,4,4,6738.38
2020,4,3,6797.4
2020,4,2,6606.78
2020,4,1,6437.32
2020,3,31,6430.61
2020,3,30,5925.54
2020,3,29,6245.62
2020,3,28,6467.25
2020,3,27,6719.39
2020,3,26,6675.17
2020,3,25,6738.72
2020,3,24,6436.64
2020,3,23,5831.37
2020,3,22,6185.56
2020,3,21,6206.52
2020,3,20,6191.65
2020,3,19,5245.42
2020,3,18,5227.11
2020,3,17,5002.58
2020,3,16,5385.23
2020,3,15,5201.07
2020,3,14,5573.08
2020,3,13,5017.83
2020,3,12,7913.62
2020,3,11,7910.09
2020,3,10,7922.15
2020,3,9,8111.15
2020,3,8,8908.21
2020,3,7,9121.6
2020,3,6,9078.31
2020,3,5,8760.29
2020,3,4,8788.54
2020,3,3,8865.39
2020,3,2,8563.26
2020,3,1,8599.76
2020,2,29,8671.21
2020,2,28,8788.73
2020,2,27,8825.09
2020,2,26,9338.29
2020,2,25,9651.31
2020,2,24,9921.58
2020,2,23,9663.32
2020,2,22,9687.71
2020,2,21,9611.78
2020,2,20,9629.33
2020,2,19,10143.8
2020,2,18,9691.23
2020,2,17,9936.56
2020,2,16,9889.18
2020,2,15,10313.86
2020,2,14,10211.55
2020,2,13,10323.96
2020,2,12,10202.39
2020,2,11,9855.89
2020,2,10,10115.56
2020,2,9,9863.89
2020,2,8,9793.07
2020,2,7,9726.0
2020,2,6,9617.82
2020,2,5,9183.42
2020,2,4,9292.84
2020,2,3,9344.68
2020,2,2,9389.82
2020,2,1,9346.36
2020,1,31,9508.31
2020,1,30,9316.02
2020,1,29,9357.47
2020,1,28,8912.52
2020,1,27,8597.31
2020,1,26,8364.41
2020,1,25,8440.12
2020,1,24,8405.57
2020,1,23,8680.65
2020,1,22,8744.21
2020,1,21,8658.99
2020,1,20,8704.63
2020,1,19,8941.45
2020,1,18,8927.21
2020,1,17,8725.21
2020,1,16,8812.48
2020,1,15,8825.34
2020,1,14,8140.93
2020,1,13,8189.77
2020,1,12,8033.26
2020,1,11,8162.19
2020,1,10,7878.31
2020,1,9,8082.3
2020,1,8,8161.94
2020,1,7,7768.68
2020,1,6,7410.45
2020,1,5,7410.45
2020,1,4,7345.38
2020,1,3,6984.43
2020,1,2,7202.55
2020,1,1,7194.89
2019,12,31,7294.44
2019,12,30,7420.27
2019,12,29,7317.65
2019,12,28,7289.03
2019,12,27,7238.14
2019,12,26,7274.8
2019,12,25,7325.76
2019,12,24,7354.39
2019,12,23,7508.9
2019,12,22,7191.19
2019,12,21,7220.59
2019,12,20,7208.64
2019,12,19,7277.59
2019,12,18,6647.7
2019,12,17,6931.32
2019,12,16,7153.66
2019,12,15,7124.24
2019,12,14,7268.9
2019,12,13,7244.66
2019,12,12,7216.74
2019,12,11,7277.2
2019,12,10,7397.13
2019,12,9,7561.8
2019,12,8,7551.34
2019,12,7,7547.27
2019,12,6,7450.56
2019,12,5,7253.24
2019,12,4,7320.13
2019,12,3,7323.98
2019,12,2,7424.04
2019,12,1,7571.62
2019,11,30,7764.06
2019,11,29,7466.73
2019,11,28,7536.82
2019,11,27,7220.88
2019,11,26,7145.16
2019,11,25,7039.98
2019,11,24,7398.63
2019,11,23,7296.16
2019,11,22,7643.57
2019,11,21,8023.64
2019,11,20,8203.61
2019,11,19,8305.13
2019,11,18,8573.98
2019,11,17,8549.47
2019,11,16,8491.17
2019,11,15,8705.71
2019,11,14,8811.94
2019,11,13,8812.03
2019,11,12,8759.75
2019,11,11,9056.92
2019,11,10,8812.49
2019,11,9,8809.47
2019,11,8,9265.37
2019,11,7,9352.39
2019,11,6,9340.86
2019,11,5,9413.0
2019,11,4,9235.61
2019,11,3,9324.79
2019,11,2,9259.78
2019,11,1,9193.99
2019,10,31,9202.46
2019,10,30,9422.46
2019,10,29,9248.44
2019,10,28,9565.1
2019,10,27,9241.71
2019,10,26,8667.58
2019,10,25,7490.7
2019,10,24,7509.73
2019,10,23,8076.23
2019,10,22,8243.4
2019,10,21,8225.12
2019,10,20,7997.81
2019,10,19,7973.8
2019,10,18,8100.93
2019,10,17,8047.81
2019,10,16,8204.67
2019,10,15,8373.46
2019,10,14,8320.83
2019,10,13,8336.9
2019,10,12,8315.66
2019,10,11,8585.26
2019,10,10,8585.28
2019,10,9,8229.84
2019,10,8,8246.85
2019,10,7,7989.12
2019,10,6,8149.88
2019,10,5,8210.15
2019,10,4,8259.49
2019,10,3,8390.77
2019,10,2,8344.21
2019,10,1,8299.72
2019,9,30,8104.23
2019,9,29,8246.04
2019,9,28,8251.27
2019,9,27,8113.1
2019,9,26,8487.67
2019,9,25,8603.43
2019,9,24,9729.32
2019,9,23,10067.96
2019,9,22,10024.12
2019,9,21,10183.65
2019,9,20,10266.32
2019,9,19,10200.5
2019,9,18,10247.8
2019,9,17,10281.51
2019,9,16,10347.22
2019,9,15,10356.47
2019,9,14,10345.4
2019,9,13,10415.36
2019,9,12,10176.82
2019,9,11,10123.03
2019,9,10,10336.41
2019,9,9,10443.23
2019,9,8,10518.11
2019,9,7,10353.93
2019,9,6,10578.2
2019,9,5,10588.18
2019,9,4,10621.18
2019,9,3,10345.73
2019,9,2,9757.47
2019,9,1,9630.59
2019,8,31,9597.54
2019,8,30,9514.84
2019,8,29,9756.79
2019,8,28,10203.43
2019,8,27,10372.83
2019,8,26,10126.3
2019,8,25,10160.74
2019,8,24,10407.64
2019,8,23,10136.31
2019,8,22,10142.52
2019,8,21,10764.57
2019,8,20,10916.35
2019,8,19,10350.28
2019,8,18,10233.01
2019,8,17,10358.72
2019,8,16,10319.42
2019,8,15,10038.42
2019,8,14,10889.49
2019,8,13,11385.05
2019,8,12,11528.19
2019,8,11,11349.74
2019,8,10,11861.56
2019,8,9,11953.47
2019,8,8,11954.04
2019,8,7,11476.19
2019,8,6,11811.55
2019,8,5,10960.74
2019,8,4,10821.63
2019,8,3,10519.28
2019,8,2,10402.04
2019,8,1,10077.44
2019,7,31,9604.05
2019,7,30,9522.33
2019,7,29,9548.18
2019,7,28,9491.63
2019,7,27,9871.16
2019,7,26,9913.13
2019,7,25,9809.1
2019,7,24,9887.73
2019,7,23,10346.75
2019,7,22,10596.95
2019,7,21,10777.53
2019,7,20,10525.82
2019,7,19,10653.96
2019,7,18,9698.5
2019,7,17,9471.21
2019,7,16,10896.65
2019,7,15,10257.84
2019,7,14,11381.02
2019,7,13,11813.13
2019,7,12,11354.3
2019,7,11,12139.71
2019,7,10,12571.54
2019,7,9,12284.33
2019,7,8,11446.6
2019,7,7,11217.62
2019,7,6,10982.54
2019,7,5,11203.1
2019,7,4,11972.72
2019,7,3,10818.16
2019,7,2,10588.68
2019,7,1,10796.93
2019,6,30,11931.99
2019,6,29,12400.76
2019,6,28,11162.17
2019,6,27,13017.12
2019,6,26,11778.58
2019,6,25,11007.2
2019,6,24,10853.74
2019,6,23,10696.69
2019,6,22,10175.92
2019,6,21,9525.07
2019,6,20,9273.06
2019,6,19,9078.73
2019,6,18,9335.47
2019,6,17,8988.92
2019,6,16,8841.44
2019,6,15,8689.75
2019,6,14,8230.9
2019,6,13,8145.55
2019,6,12,7925.43
2019,6,11,8004.24
2019,6,10,7692.28
2019,6,9,7949.67
2019,6,8,8036.77
2019,6,7,7826.9
